Title	URL	Assignees	Status	Priority	Estimate	Size	Iteration
CH - Accessbility fetures - High contrast adn sceen reader	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/6		Todo				
CH - windows narrator	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/16		Todo				
WH: Teacher can view past quizzes	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/29		Todo				
CH - rewards (e.g. items) for daily quizzes	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/30		Todo				
CH: Compare to self and other	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/35		Todo				
MH: Study using app interface	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/25	danidormer47	Done	P0			
MH - separate subject flashcards (quests)	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/3	Crazycatwastaken	Done	P0			
MH - set end dates to reflect final exams	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/7	Crazycatwastaken	Done	P0			
MH: User Retrevies their Data	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/15	Crazycatwastaken, eleon236, lmraad	Done	P0			
MH - teachers edit flashcards	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/26	eleon236	Done	P0			
MH: Sign in	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/21	OliviaMiley	Done	P0			
MH: Sign Up	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/23	OliviaMiley	Done	P0			
MH: Multiple Windows	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/11	danidormer47	Done	P0			
MH - teachers review flashcards	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/24	eleon236	Done	P0			
MH - daily quizzes for students	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/45	lmraad	Done	P0			
MH: store data	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/17	Crazycatwastaken, eleon236, lmraad, OliviaMiley	Done	P0			
MH: Update stored data	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/12	Crazycatwastaken, eleon236, OliviaMiley	Done	P0			
MH - quizzes for teachers	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/31	lmraad	Done	P0			
MH - delete flashcards	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/20	eleon236	Done	P0			
MH - edit flashcards	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/19	eleon236	Done	P0			
MH - view flashcards	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/22	eleon236	Done	P0			
MH - set end dates	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/5	Crazycatwastaken	Done	P0			
MH - time efficient flashcard generation	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/9	eleon236	Done	P1			
MH - summarise content with flashcards	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/13	eleon236	Done	P1			
MH - add more flashcards	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/18	eleon236	Done	P1			
MH - generate flashcards from subject notes	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/28	eleon236	Done	P1			
MH - completion bar (flashcards completed bar)	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/36	lmraad	Done	P1			
MH - flashcards for forgetful student	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/14		Done	P1			
SH: Modern design with attractive visuals	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/8	danidormer47	Done	P2			
SH - generate flashcards for teachers	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/10	eleon236	Done	P2			
SH: See high scores and achivements to gauge performance	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/32	Crazycatwastaken	Done	P2			
SH - progress bar for time management (map)	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/27	lmraad	Done	P2			
SH - select character for each quest	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/4	OliviaMiley	Done	P2			
Low Fidelity	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/37	lmraad, OliviaMiley	Done				
Medium Fidelity	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/38	Crazycatwastaken, eleon236	Done				
User Stories	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/39	Crazycatwastaken, danidormer47, eleon236, lmraad, OliviaMiley	Done				
Release Plan	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/41		Done				
Sprint Plan	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/42		Done				
Requirements	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/43		Done				
SH - keep user engaged	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/34		Done				
Project Brief	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/44		Done				
Final Video	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/89		Done				
Final Presentation	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/88		Done				
MH - gamified study experience	https://github.com/eleon236/CAB302-AlfredAI-Project/issues/33		Done				
